Target,Noise,model,mean,std,min,max,median,IQR,fail_rate,non_fail_rate,accept_rate,accu_rate
boltz_boltz,clean,our,0.00016719313518221603,0.0001725499294328479,7.6604650451961e-06,0.002519715309502859,0.00011465708363145148,0.00010376431966959169,0.0067866666666666665,0.9932133333333333,0.5833866666666667,0.4098266666666667
boltz_boltz,clean,mpd,0.00012157056646271982,0.0004038132714894796,3.159945485774532e-08,0.0060320375696635425,1.5281002072612215e-05,4.710082922202479e-05,0.035973333333333336,0.9640266666666667,0.1202,0.8438266666666666
boltz_boltz,noised,our,0.0003529965141464712,0.0003086494128041412,7.756616544730668e-06,0.004092323578562258,0.0002556242231687827,0.00030986974769150555,0.046373333333333336,0.9536266666666666,0.82992,0.12370666666666667
boltz_boltz,noised,mpd,0.0005682384863485853,0.0007394452245378909,1.1951925806679157e-06,0.008566588785098911,0.0003352265046158246,0.0004671680761158903,0.13186666666666666,0.8681333333333333,0.7446,0.12353333333333333
boltz_gauss,clean,our,0.0008017628162436603,0.0003819699348216627,4.741376262258258e-05,0.0027046472149591994,0.0007839767412304253,0.0005117547807138926,0.27674666666666664,0.7232533333333333,0.72036,0.0028933333333333333
boltz_gauss,clean,mpd,0.00017627595369622878,0.000649967626795952,2.1688143879920184e-07,0.007717085834366316,3.265216535662729e-05,7.705554790937798e-05,0.03166666666666667,0.9683333333333334,0.20030666666666666,0.7680266666666666
boltz_gauss,noised,our,0.0009479962615689468,0.0004841868469406833,5.037458505026095e-05,0.0046513788905967616,0.0008849312755864524,0.0006022018755252277,0.3997733333333333,0.6002266666666667,0.5989466666666666,0.00128
boltz_gauss,noised,mpd,0.0012173223615524111,0.0016661528659326766,9.869076180187866e-06,0.041135033763001566,0.0007735037667910072,0.0011462820012831771,0.4016533333333333,0.5983466666666667,0.56892,0.029426666666666667
gauss_gauss,clean,our,0.0006881483581631551,0.0003212967711355829,0.0001868168266176735,0.001960442448011554,0.0005709906761534812,0.00042217233916441255,0.17493333333333333,0.8250666666666666,0.8250666666666666,0.0
gauss_gauss,clean,mpd,0.0002609679991666776,0.0006116896684603118,4.664680098562667e-08,0.00553497261712266,4.6081517565844886e-05,0.0001445559431170957,0.08005333333333334,0.9199466666666667,0.25653333333333334,0.6634133333333333
gauss_gauss,noised,our,0.0008883237887171557,0.0004147794299467186,0.0001612409637910298,0.0033621815890199987,0.0008018827033877268,0.0005737058566799842,0.33836,0.66164,0.66164,0.0
gauss_gauss,noised,mpd,0.0008660709797321467,0.0007927875823811722,1.5691918803072143e-06,0.00916315859598614,0.0006248927209371088,0.0007993314316827736,0.2972,0.7028,0.6738,0.029
